Freq prop
ASC 4573 0.00275289390974144
EX 6042 0.00363721517661443
INH 5853 0.00352343932948101
MG 3899 0.00234715358715982
ODC 36898 0.0222121757012114
OPC 2702 0.00162657322198149
PER.END 427 0.000257049136116246
Type1 13756 0.00828095530776367
Type2 31923 0.019217282370583
Type3 1600 0.00096318177467446
Type4 24320 0.0146403629750518
Type5 17691 0.0106497804848537
Type6 28440 0.0171205560448385
Type7 34589 0.0208221840026343
Type8 20395 0.0122775576840535
Type9 22286 0.0134159181439969
Type10 6073 0.00365587682349875
Type11 18470 0.0111187296113983
Type12 30543 0.0183865380899263
Type13 3354 0.00201906979516134
Type14 31197 0.0187802386403244
Type15 36111 0.0217384106657934
Type16 27269 0.0164156273834986
Type17 13160 0.00792217009669743
Type18 7193 0.00433010406577087
Type19 11980 0.00721182353787502
Type20 9111 0.00548471821816188
Type21 13629 0.00820450275439888
Type22 18757 0.0112915003422305
Type23 25298 0.0152291078348215
Type24 5279 0.00317789786781655
Type25 1964 0.0011823056284129
Type26 22752 0.0136964448358708
Type27 19757 0.0118934889514021
Type28 34844 0.020975691097973
Type29 9195 0.00553528526133228
Type30 9794 0.00589587643822604
Type31 29059 0.0174931869939157
Type32 18222 0.0109694364363238
Type33 5350 0.00322063905906772
Type34 25944 0.0156179924763464
Type35 24766 0.0149088498947423
Type36 32754 0.0197175349048045
Type37 5640 0.00339521575572747
Type38 14090 0.00848201950322696
Type39 7398 0.00445351173065103
Type40 3178 0.00191311979994715
Type41 32950 0.0198355246722022
Type42 6824 0.00410797026898657
Type43 28533 0.0171765409854915
Type44 19974 0.0120241204795923
Type45 26227 0.0157883552527419
Type46 1469 0.000884321266872988
Type47 9987 0.00601206023979614
Type48 1871 0.00112632068775995
Type49 20110 0.0121059909304396
Type50 31024 0.0186760946109378
Type51 28070 0.016897820259445
Type52 32132 0.0193430979898998
Type53 36699 0.0220923799679862
Type54 5246 0.00315803224371388
Type55 33649 0.0202563147100131
Type56 15101 0.00909062998709938
Type57 16948 0.0102025029482392
Type58 27000 0.0162536924476315
Type59 16313 0.00982024018141529
Type60 8726 0.00525295260363083
Type61 12052 0.00725516671773537
Type62 22400 0.0134845448454424
Type63 11738 0.0070661422944555
Type64 7985 0.00480687904423473
Type65 13990 0.00842182064230981
Type66 23101 0.0139065388604717
Type67 9582 0.00576825485308167
Type68 10817 0.00651171078540852
Type69 24995 0.0150467052862426
Type70 13380 0.00805460759071517
Type71 20606 0.0124045772805887
Type72 6572 0.00395626913947534
Type73 12435 0.00748572835504807
Type74 9147 0.00550638980809205
Type75 14131 0.00850670103620299
Type76 29345 0.0176653557361388
Type77 3678 0.00221411410453291
Type78 36249 0.0218214850938591
Type79 8399 0.00505610232843174
Type80 12063 0.00726178859243625
Type81 794 0.000477978955682201
Type82 23032 0.0138650016464388
Type83 434 0.000261263056380447
Type84 21061 0.0126784820977617
Type85 1583 0.000952947968318544
Type86 13869 0.00834898002060005
Type87 1701 0.00102398262420078
Type88 33081 0.0199143851800036
Type89 25253 0.0152020183474088
Type90 16721 0.0100658515339573
Type91 1713 0.00103120648751084
Type92 28238 0.0169989543457859
Type93 14638 0.00881190926105296
